Parallel,Serial
486,884
321,605
206,479
180,625
437,793
183,581
117,531
93,522
159,565
263,566
100,590
117,586
104,580
107,585
99,561
100,548
109,578
100,594
105,551
97,587
98,575
112,581
104,519
108,559
96,448
100,455
104,665
100,579
103,572
98,652
104,538
107,683
192,539
308,544
405,592
174,537
107,830
100,546
107,533
97,569
100,711
104,553
97,538
108,557
97,583
125,620
108,574
102,576
109,488
108,431
112,572
103,605
103,535
108,519
103,544
104,674
100,579
96,635
128,594
186,481
135,553
144,603
124,556
105,495
108,556
181,517
287,549
209,535
184,536
208,629
174,571
144,577
203,608
136,570
110,584
106,575
106,489
106,534
101,553
102,515
107,581
96,576
109,548
99,578
101,631
93,585
100,580
111,515
105,578
104,542
98,546
99,558
119,633
137,527
131,576
114,554
156,709
98,709
106,499
108,559
148,517
106,537
114,569
110,529
110,526
102,708
106,561
108,545
99,573
107,548
102,691
98,767
104,866
100,460
111,606
103,524
107,561
97,584
97,577
105,543
107,517
105,512
100,596
101,575
111,518
102,569
108,486
108,568
171,747
101,603
113,572
107,548
108,467
126,519
237,583
96,559
112,519
111,577
152,539
117,645
99,604
99,567
104,564
103,609
106,549
99,561
108,565
103,536
100,592
97,556
104,571
107,512
105,544
103,531
94,598
118,739
99,550
135,555
110,554
116,566
106,611
101,580
97,567
91,598
113,531
99,517
98,541
100,605
94,532
100,517
101,565
111,593
108,510
103,557
104,521
104,558
104,527
106,533
93,609
104,556
98,588
103,549
102,568
97,605
103,568
102,559
116,552
112,872
104,558
117,571
103,558
108,533
99,516
105,602
103,563
99,523
105,548
100,556
105,558
106,532
104,586
104,572
98,584
110,533
100,616
102,579
106,554
100,581
107,561
105,520
134,548
116,534
152,567
130,581
117,524
103,597
110,579
129,564
124,590
141,590
133,625
115,490
117,571
161,592
141,579
178,591
120,598
94,535
97,561
100,555
111,497
106,512
162,491
120,607
102,578
111,535
105,555
167,602
149,551
107,497
196,572
141,549
137,608
107,559
110,525
98,547
152,542
171,645
137,531
121,561
171,530
166,520
195,465
147,492
127,516
97,510
106,529
98,472
95,500
108,568
96,585
112,537
99,527
100,583
108,533
103,543
106,554
98,561
99,573
125,539
117,579
107,575
101,537
107,563
100,564
107,572
109,529
103,596
107,577
102,596
108,541
109,597
104,534
142,554
111,600
104,547
92,584
97,557
98,539
102,540
113,540
109,525
107,576
98,575
106,517
100,594
107,550
107,542
99,483
108,570
105,592
99,577
103,491
98,574
107,572
114,552
120,572
97,560
99,557
108,501
99,594
102,583
99,586
103,547
108,734
106,931
160,827
111,706
113,593
101,525
115,574
99,506
103,585
108,482
106,517
111,481
105,525
106,565
98,557
97,522
114,590
105,598
107,574
105,551
101,797
100,686
100,539
109,789
108,646
338,499
105,598
101,584
310,565
107,612
102,608
114,600
105,533
106,570
135,576
153,523
108,560
101,572
105,586
100,590
104,635
98,589
96,694
102,610
113,591
121,554
102,587
105,585
103,601
104,562
111,577
104,578
114,557
106,530
113,560
101,550
105,568
110,592
102,574
109,487
96,561
102,553
95,505
95,578
99,598
99,587
126,579
103,527
102,575
132,472
139,574
139,564
137,525
177,625
185,582
132,533
100,547
95,571
99,563
102,574
115,599
110,556
98,550
100,585
102,597
99,567
97,556
97,546
99,675
91,536
92,580
99,542
94,562
100,530
96,576
94,545
103,582
93,568
96,558
95,527
97,587
107,573
105,584
105,569
99,547
98,584
110,567
101,551
112,563
98,552
110,556
119,582
135,597
114,575
107,550
106,605
101,586
111,532
108,584
98,570
104,565
96,558
115,602
107,569
105,541
94,588
91,593
99,599
99,573
97,604
97,577
97,563
105,578
104,590
100,574
103,558
97,606
103,594
95,583
102,573
105,564
95,613
101,557
91,582
91,577
100,578
93,593
105,588
98,563
100,562
105,603
98,585
103,557
100,598
94,568
98,582
100,613
100,591
94,624
99,572
99,605
98,595
99,653
100,563
97,579
101,555
97,573
99,579
92,583
98,563
116,574
101,534
96,602
102,557
93,565
102,589
108,570
105,597
130,601
114,565
107,585
106,515
102,547
97,609
96,551
101,582
101,591
104,572
101,582
97,599
111,570
102,545
109,598
99,576
101,564
115,555
105,555
137,541
104,564
109,562
102,556
109,531
100,563
98,567
101,593
99,552
115,576
96,570
99,570
98,567
95,546
100,558
93,505
98,554
101,596
99,557
103,576
100,582
99,583
105,553
98,581
104,586
136,568
100,567
99,596
95,581
104,584
96,574
108,584
101,578
96,563
106,529
102,568
104,548
96,588
96,565
113,590
101,547
123,576
115,568
116,579
97,557
100,563
99,588
99,545
94,597
95,592
96,584
97,516
94,593
97,574
97,556
95,586
92,577
95,593
93,543
100,614
95,608
100,568
127,561
100,579
104,527
106,618
115,601
104,557
132,559
102,598
92,585
100,547
95,541
96,564
100,548
97,561
98,570
93,587
93,575
99,549
97,591
107,542
94,575
91,569
100,567
93,576
102,507
94,564
96,563
99,591
98,551
98,555
97,583
92,545
102,571
95,561
96,594
100,569
95,589
98,595
99,563
94,590
101,577
95,574
94,555
114,562
98,563
103,554
99,529
111,610
101,580
105,512
105,584
97,585
100,586
97,555
98,563
114,510
129,564
186,611
137,559
152,606
157,559
113,570
105,603
95,492
94,574
100,562
100,576
109,551
99,562
108,612
98,561
98,552
99,574
98,592
103,537
96,615
106,561
111,608
103,543
102,598
93,548
100,554
94,569
95,589
98,556
95,559
100,556
125,545
95,560
99,550
97,581
98,570
108,569
99,568
102,575
97,534
98,557
113,599
98,682
103,592
99,556
99,588
100,598
104,579
103,569
100,561
99,578
102,592
99,582
117,522
105,563
105,523
118,529
103,577
109,623
101,583
120,629
122,548
127,559
131,579
129,583
107,596
94,572
110,589
100,514
109,590
98,583
109,522
92,539
97,624
111,595
104,588
120,572
103,555
101,553
109,590
99,579
104,598
93,562
112,594
105,553
93,511
102,564
95,543
92,564
102,540
91,545
104,664
99,558
92,535
103,576
109,564
102,558
103,515
94,557
103,582
95,563
103,555
93,575
96,509
103,576
102,584
103,581
100,531
101,532
100,531
99,617
102,532
100,571
99,583
95,546
96,577
97,588
96,587
101,570
117,583
95,553
101,615
94,581
99,585
99,571
97,574
103,585
98,559
92,546
114,624
98,672
109,599
94,555
98,566
99,567
92,557
98,579
107,604
99,582
112,566
103,557
106,595
106,655
96,606
98,624
93,587
103,542
91,477
93,572
100,551
98,654
92,555
98,562
93,529
99,501
92,567
95,552
99,564
94,565
93,580
100,571
92,548
104,559
97,537
92,559
99,576
96,586
99,566
93,602
100,577
101,557
90,578
96,591
97,532
92,598
103,586
92,543
96,583
102,505
100,544
101,614
98,544
98,569
99,598
93,575
103,598
109,595
101,566
108,590
90,619
102,593
90,582
91,550
97,601
93,613
94,582
100,621
107,548
120,586
150,542
132,607
127,564
129,572
96,569
99,549
100,582
98,561
96,613
94,588
125,596
102,603
99,590
104,607
96,541
118,604
102,582
104,553
101,621
99,578
98,594
98,556
102,589
94,582
96,558
96,551
94,521
96,611
100,600
102,577
99,590
96,585
99,627
99,521
98,547
96,587
90,596
96,581
100,594
94,606
95,571
108,565
97,569
99,575
102,586
96,582
98,568
96,613
103,576
94,585
95,573
102,468
98,531
99,577
95,575
95,527
98,569
98,586
90,590
100,555
94,557
106,573
104,579
94,556
108,572
93,530
105,546
102,536
96,593
102,567
95,601
97,590
94,575
93,596
95,590
93,597
94,619
101,519
95,587
99,565
97,594
97,552
109,592
98,580
108,572
95,663
96,579
98,563
100,532
101,576
98,613
95,606
96,586
96,568
103,591
96,548
96,559
100,563
99,560
101,559
95,564
97,603
109,588
101,586
102,617
98,515
102,620
103,586
95,604
103,596
97,595
97,621
100,563
94,568
95,591
102,549
99,572
98,574
97,510
100,551
101,607
94,581
100,592
97,542
94,582
103,607
100,567
104,564
98,567
94,559
103,597
98,615
103,574
99,573
98,578
102,582
91,595
106,553
95,588
97,614
107,595
97,590
97,585
100,565
96,498
99,600
96,565
93,599
100,601
94,594
104,602
95,567
99,592
99,586
96,548
98,592
93,595
96,582
96,573
97,581
95,587
99,568
93,575
103,611
97,575
98,578
107,565
100,608
109,563
93,606
94,540
99,548
92,556
100,567
98,575
100,574
102,575
93,559
97,603
101,540
97,598
93,576
93,597
93,571
98,591
91,586
98,551
96,575
91,589
94,535
95,555
92,544
90,598
99,507
115,557
93,584
99,549
100,548
100,589
107,585
107,540
97,583
99,579
97,611
98,538
100,672
92,608
98,571
96,577
98,573
101,600
98,595
102,596
96,564
96,561
97,600
94,604
98,547
99,583
97,571
109,548
99,615
106,552
96,622
102,549
99,603
98,589
97,593
92,560
93,616
96,610
96,539
100,629
100,561
98,614
112,578
97,569
99,580
98,558
98,619
97,539
100,603
99,568
103,556
96,565
98,548
94,600
94,633
101,555
94,539
98,588
92,570
96,604
98,547
92,584
95,584
104,566
98,575
100,605
91,603
92,610
105,605
99,600
112,535
93,612
96,565
105,537
94,577
96,614
92,563
103,568
96,601
91,420
97,480
96,581
93,601
93,572
98,561
92,606
99,551
94,599
92,591
94,581
99,597
92,561
95,590
91,598
114,572
94,565
101,629
100,573
95,566
102,586
97,606
105,548
97,556
100,635
100,570
93,559
96,603
96,599
98,582
105,573
97,594
91,554
99,531
93,608
104,574
93,584
95,576
103,530
92,565
98,528
93,575
96,584
99,582
95,564
94,579
98,590
97,504
106,548
96,609
101,602
98,560
92,564
103,595
96,506
94,644
96,600
93,586
91,561
99,605
92,589
97,560
97,593
94,592
102,579
95,581
101,576
91,606
98,579
99,571
94,581
92,584
105,561
98,591
98,610
99,566
95,595
100,587
92,576
100,550
99,591
98,611
109,584
98,582
105,588
100,570
102,601
104,601
98,587
102,599
98,599
96,601
101,634
93,574
111,602
95,588
97,584
98,575
